freq;indic_de;geo\TIME_PERIOD,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 
A;CNMIGRATRT;FR22,-1.6 ,-1.1 ,-1.8 ,-2.1 ,-2.6 ,-2.0 ,-1.1 p,-1.9 ,-2.4 p,-1.8 p,-1.8 p,: 
A;CNMIGRATRT;FR23,-1.2 ,0.5 ,-0.3 ,-1.8 ,-2.9 ,-0.9 ,-1.6 p,0.2 ,-1.4 p,-0.9 p,-0.9 p,: 
A;CNMIGRATRT;FR24,0.2 ,-0.6 ,0.3 ,1.6 ,1.1 ,0.3 ,0.8 p,1.2 ,-1.2 p,0.3 p,0.3 p,: 
A;CNMIGRATRT;FR25,0.5 ,2.0 ,0.5 ,0.1 ,0.1 ,-0.4 ,0.4 p,0.2 ,-0.2 p,0.1 p,0.1 p,: 
A;CNMIGRATRT;FR26,2.4 ,2.2 ,1.9 ,-0.4 ,0.1 ,-0.9 ,1.3 p,0.4 ,-0.5 p,0.4 p,0.4 p,: 
A;CNMIGRATRT;FR30,-4.5 ,-4.4 ,-2.9 ,-3.8 ,-4.1 ,-3.0 ,-2.1 p,-0.7 ,-4.3 p,-2.4 p,-2.4 p,: 
A;CNMIGRATRT;FR41,-1.2 ,0.1 ,-1.0 ,-2.1 ,-2.5 ,-2.4 ,-3.6 p,-2.7 ,-1.9 p,-2.8 p,-2.8 p,: 
A;CNMIGRATRT;FR42,1.6 ,0.7 ,-1.2 ,-2.7 ,-0.8 ,-0.1 ,0.8 p,-0.9 ,-0.5 p,-0.2 p,-0.2 p,: 
A;CNMIGRATRT;FR43,2.6 ,0.4 ,-0.4 ,-0.6 ,-2.3 ,-1.3 ,-1.6 p,-1.8 ,-1.2 p,-1.5 p,-1.5 p,: 
A;CNMIGRATRT;FR51,4.2 ,3.3 ,3.7 ,4.7 ,3.8 ,4.5 ,4.1 p,4.8 ,4.1 p,4.3 p,4.2 p,: 
A;CNMIGRATRT;FR52,5.7 ,7.2 ,5.8 ,5.6 ,4.0 ,4.2 ,5.5 p,4.6 ,4.3 p,4.7 p,4.7 p,: 
A;CNMIGRATRT;FR53,8.3 ,6.8 ,3.8 ,5.3 ,3.8 ,3.5 ,3.7 p,5.3 ,3.3 p,4.1 p,4.1 p,: 
A;CNMIGRATRT;FR61,8.5 ,7.2 ,7.8 ,7.0 ,5.6 ,8.5 ,8.8 p,7.4 ,7.5 p,7.8 p,7.7 p,: 
